Year,Title,Gross
2009,Avatar,2743577587
2009,Harry Potter and the Half-Blood Prince,933959197
2009,Ice Age: Dawn of the Dinosaurs,886686817
2009,Transformers: Revenge of the Fallen,836303693
2009,2012,769679473
2009,Up,735099082
2009,The Twilight Saga: New Moon,709827462
2009,Sherlock Holmes,524028679
2009,Angels & Demons,485930816
2009,The Hangover,468812793
2009,Alvin and the Chipmunks: The Squeakquel,443140005
2009,Night at the Museum: Battle of the Smithsonian,413106170
2009,Star Trek,385680446
2009,Monsters vs. Aliens,381509870
2009,X-Men Origins: Wolverine,373062864
2009,Terminator Salvation,371353001
2009,Fast & Furious,360364265
2009,Prince of Persia: The Sands of Time,336365676
2009,A Christmas Carol,325286646
2009,Inglourious Basterds,321455689
2009,The Proposal,317375031
2009,The Blind Side,309208309
2009,G.I. Joe: The Rise of Cobra,302469017
2009,G-Force,292817841
2009,This Is It,267983588
2009,The Princess and the Frog,267045765
2009,Cloudy with a Chance of Meatballs,243006126
2009,It's Complicated,219103655
2009,Public Enemies,214104620
2009,District 9,210888950
2009,The Ugly Truth,205298907
2009,Paranormal Activity,193355800
2009,The Final Destination,186167139
2009,Watchmen,185382813
2009,Paul Blart: Mall Cop,183348429
2009,He's Just Not That Into You,178866158
2009,Couples Retreat,171844840
2009,Up in the Air,166842739
2009,Hannah Montana: The Movie,155545279
2009,The Taking of Pelham 123,150166126
2009,Brüno,138805831
2009,17 Again,136316880
2009,Julie & Julia,129540522
2009,The Fighter,129190869
2009,Law Abiding Citizen,127944208
2009,Coraline,124596837
2009,Surrogates,122444772
2009,Invictus,122233971
2009,Red Cliff II,120432178
2009,Hotel for Dogs,117252578
2009,Bride Wars,115375850
2009,Confessions of a Shopaholic,108394089
2009,Race to Witch Mountain,106387141
2009,Planet 51,105647102
2009,The Girl with the Dragon Tattoo,104414200
2009,Zombieland,102392080
2009,Ghosts of Girlfriends Past,102366815
2009,The Time Traveler's Wife,101344412
2009,My Bloody Valentine,100734718
2009,Where the Wild Things Are,100140096
2009,Old Dogs,96753696
2009,My Sister's Keeper,95714875
2009,Green Zone,94882549
